Resume_str,Category,cleaned_resume,label
"Android developer with Java and Kotlin skills, building mobile apps, Android SDK, Retrofit, Room database, MVVM, and Google Play deployment.",Java Developer,android developer java kotlin skills building mobile apps android sdk retrofit room database mvvm google play deployment,4
"Full-stack Python developer proficient in Django REST Framework, Vue.js, PostgreSQL, Redis, CI/CD, GitHub Actions, and cloud deployment.",Python Developer,full stack python developer proficient django rest framework vue js postgresql redis ci cd github actions cloud deployment,5
"Experienced data scientist with expertise in Python, machine learning, deep learning, TensorFlow, PyTorch, scikit-learn. Worked on NLP, computer vision projects. Strong background in statistics, data analysis, pandas, numpy, SQL.",Data Science,experienced data scientist expertise python machine learning deep learning tensorflow pytorch scikit learn worked nlp computer vision projects strong background statistics data analysis pandas numpy sql,2
"Key account manager with experience managing enterprise clients, renewals, cross-selling, strategic partnerships, and executive-level presentations.",Sales,key account manager experience managing enterprise clients renewals cross selling strategic partnerships executive level presentations,6
"Data analyst with skills in SQL, Python, Tableau, Power BI, Excel, data wrangling, dashboard creation, business intelligence, and KPI tracking.",Data Science,data analyst skills sql python tableau power bi excel data wrangling dashboard creation business intelligence kpi tracking,2
"Management accountant skilled in cost accounting, budgeting, variance analysis, profitability reporting, KPI dashboards, and strategic financial planning.",Accountant,management accountant skilled cost accounting budgeting variance analysis profitability reporting kpi dashboards strategic financial planning,0
"Human resources professional with experience in talent acquisition, employee relations, performance management, HRIS systems, onboarding, payroll processing.",HR,human resources professional experience talent acquisition employee relations performance management hris systems onboarding payroll processing,3
"Full-stack web designer skilled in React, Node.js, MongoDB, Express, RESTful APIs, GraphQL, responsive layouts, and progressive web apps.",Web Designing,full stack web designer skilled react node js mongodb express restful apis graphql responsive layouts progressive web apps,7
"Legal advocate specializing in criminal defense, constitutional law, appellate practice, negotiation, mediation, and legal brief writing.",Advocate,legal advocate specializing criminal defense constitutional law appellate practice negotiation mediation legal brief writing,1
"Python backend developer with experience in microservices, gRPC, Protocol Buffers, Kafka integration, Redis caching, Celery task queues, and API design.",Python Developer,python backend developer experience microservices grpc protocol buffers kafka integration redis caching celery task queues api design,5
"Python developer experienced in Django, Flask, FastAPI, SQLAlchemy, Celery, Redis, PostgreSQL, Docker, REST APIs, unit testing, pytest.",Python Developer,python developer experienced django flask fastapi sqlalchemy celery redis postgresql docker rest apis unit testing pytest,5
"Frontend developer skilled in React, Angular, CSS animations, TypeScript, REST APIs, web performance optimization, cross-browser compatibility.",Web Designing,frontend developer skilled react angular css animations typescript rest apis web performance optimization cross browser compatibility,7
"Sales executive with proven track record in B2B sales, lead generation, CRM tools, Salesforce, pipeline management, contract negotiation, cold calling.",Sales,sales executive proven track record b2b sales lead generation crm tools salesforce pipeline management contract negotiation cold calling,6
"UX researcher experienced in user interviews, A/B testing, heatmaps, persona creation, journey mapping, and data-driven design decisions.",Web Designing,ux researcher experienced user interviews testing heatmaps persona creation journey mapping data driven design decisions,7
"CPA with experience in corporate taxation, financial statements, internal controls, risk assessment, Sarbanes-Oxley compliance, and financial modeling.",Accountant,cpa experience corporate taxation financial statements internal controls risk assessment sarbanes oxley compliance financial modeling,0
"Software developer proficient in Java EE, JSP, Servlets, design patterns, OOP principles, multi-threading, performance tuning, and system design.",Java Developer,software developer proficient java ee jsp servlets design patterns oop principles multi threading performance tuning system design,4
"Senior data scientist with expertise in statistical modeling, hypothesis testing, regression analysis, clustering algorithms, Python, pandas, and big data tools.",Data Science,senior data scientist expertise statistical modeling hypothesis testing regression analysis clustering algorithms python pandas big data tools,2
"HR manager skilled in recruitment, interviewing, compensation and benefits, training and development, compliance, workforce planning, labor relations.",HR,hr manager skilled recruitment interviewing compensation benefits training development compliance workforce planning labor relations,3
"Backend engineer skilled in Java, Spring Framework, JPA, Apache Kafka, Redis, PostgreSQL, AWS, agile development, code reviews, TDD.",Java Developer,backend engineer skilled java spring framework jpa apache kafka redis postgresql aws agile development code reviews tdd,4
"Creative web designer with expertise in HTML, CSS, JavaScript, React, Vue.js, responsive design, UI/UX, Figma, Adobe XD, Bootstrap, Tailwind CSS.",Web Designing,creative web designer expertise html css javascript react vue js responsive design ui ux figma adobe xd bootstrap tailwind css,7
"AI researcher with background in reinforcement learning, generative models, GANs, diffusion models, PyTorch, research papers, and model benchmarking.",Data Science,ai researcher background reinforcement learning generative models gans diffusion models pytorch research papers model benchmarking,2
"Finance professional skilled in accounts payable, accounts receivable, general ledger, month-end close, variance analysis, forecasting, ERP systems.",Accountant,finance professional skilled accounts payable accounts receivable general ledger month end close variance analysis forecasting erp systems,0
"NLP engineer specializing in text classification, named entity recognition, transformers, BERT, spaCy, NLTK, sentiment analysis, and information extraction.",Data Science,nlp engineer specializing text classification named entity recognition transformers bert spacy nltk sentiment analysis information extraction,2
"Pre-sales consultant with background in solution selling, product demos, RFP responses, technical presentations, and proof of concept delivery.",Sales,pre sales consultant background solution selling product demos rfp responses technical presentations proof concept delivery,6
"Talent acquisition specialist with expertise in sourcing, LinkedIn recruiting, employer branding, campus hiring, offer negotiation, and retention strategies.",HR,talent acquisition specialist expertise sourcing linkedin recruiting employer branding campus hiring offer negotiation retention strategies,3
"DevOps-oriented Java developer with expertise in Jenkins, Docker, Kubernetes, Terraform, monitoring with Grafana, and automated deployments.",Java Developer,devops oriented java developer expertise jenkins docker kubernetes terraform monitoring grafana automated deployments,4
"Business development manager skilled in consultative selling, account management, territory planning, sales forecasting, customer retention, and revenue growth.",Sales,business development manager skilled consultative selling account management territory planning sales forecasting customer retention revenue growth,6
"Senior Java engineer with 8 years experience in enterprise applications, SOA, SOAP web services, Oracle DB, and legacy system modernization.",Java Developer,senior java engineer years experience enterprise applications soa soap web services oracle db legacy system modernization,4
"Labor law advocate with expertise in employment disputes, wrongful termination, workplace harassment, labor regulations, and union negotiations.",Advocate,labor law advocate expertise employment disputes wrongful termination workplace harassment labor regulations union negotiations,1
"Intellectual property lawyer specializing in patent prosecution, trademark filing, copyright infringement, licensing agreements, and IP portfolio management.",Advocate,intellectual property lawyer specializing patent prosecution trademark filing copyright infringement licensing agreements ip portfolio management,1
"Python automation engineer with expertise in Selenium, Playwright, pytest, web scraping, BeautifulSoup, Scrapy, and test automation frameworks.",Python Developer,python automation engineer expertise selenium playwright pytest web scraping beautifulsoup scrapy test automation frameworks,5
"Data engineering Python developer skilled in Apache Airflow, Spark PySpark, ETL pipelines, data lakes, S3, Redshift, and dbt transformations.",Python Developer,data engineering python developer skilled apache airflow spark pyspark etl pipelines data lakes s3 redshift dbt transformations,5
"Web accessibility specialist with expertise in WCAG guidelines, ARIA, screen reader testing, keyboard navigation, and inclusive design practices.",Web Designing,web accessibility specialist expertise wcag guidelines aria screen reader testing keyboard navigation inclusive design practices,7
"Family law attorney skilled in divorce proceedings, child custody, adoption, alimony, domestic violence cases, and family court representation.",Advocate,family law attorney skilled divorce proceedings child custody adoption alimony domestic violence cases family court representation,1
"Attorney with experience in corporate law, mergers and acquisitions, intellectual property, compliance, regulatory affairs, and legal strategy.",Advocate,attorney experience corporate law mergers acquisitions intellectual property compliance regulatory affairs legal strategy,1
"Lawyer with expertise in civil litigation, contract law, legal research, court proceedings, client counseling, legal drafting, case management.",Advocate,lawyer expertise civil litigation contract law legal research court proceedings client counseling legal drafting case management,1
"Channel sales manager with expertise in distributor management, partner programs, incentive structures, market penetration, and indirect sales strategies.",Sales,channel sales manager expertise distributor management partner programs incentive structures market penetration indirect sales strategies,6
"Web developer with experience in JavaScript, jQuery, SASS, Webpack, accessibility standards, SEO optimization, and mobile-first design.",Web Designing,web developer experience javascript jquery sass webpack accessibility standards seo optimization mobile first design,7
"Certified accountant with expertise in financial reporting, GAAP, tax preparation, auditing, budgeting, financial analysis, QuickBooks, SAP, Excel.",Accountant,certified accountant expertise financial reporting gaap tax preparation auditing budgeting financial analysis quickbooks sap excel,0
"Backend Python engineer skilled in asyncio, aiohttp, SQLite, MongoDB, GraphQL, AWS Lambda, serverless architecture, and code optimization.",Python Developer,backend python engineer skilled asyncio aio sqlite mongodb graphql aws lambda serverless architecture code optimization,5
"Sales operations analyst skilled in CRM data management, sales reporting, pipeline analytics, forecasting models, and process optimization.",Sales,sales operations analyst skilled crm data management sales reporting pipeline analytics forecasting models process optimization,6
"Audit associate experienced in internal audits, risk assessment, internal controls, SOX compliance, audit planning, and financial statement review.",Accountant,audit associate experienced internal audits risk assessment internal controls sox compliance audit planning financial statement review,0
"Litigation attorney experienced in civil disputes, arbitration, discovery, depositions, trial preparation, and appellate court arguments.",Advocate,litigation attorney experienced civil disputes arbitration discovery depositions trial preparation appellate court arguments,1
"Inside sales specialist with expertise in outbound calling, email campaigns, HubSpot CRM, lead qualification, objection handling, and quota achievement.",Sales,inside sales specialist expertise outbound calling email campaigns hubspot crm lead qualification objection handling quota achievement,6
"Java developer with expertise in Spring Boot, Hibernate, REST APIs, microservices, Maven, JUnit, MySQL, Docker, Kubernetes, CI/CD pipelines.",Java Developer,java developer expertise spring boot hibernate rest apis microservices maven junit mysql docker kubernetes ci cd pipelines,4
