Resume_str,Category
"Android developer with Java and Kotlin skills, building mobile apps, Android SDK, Retrofit, Room database, MVVM, and Google Play deployment.",Java Developer
"Full-stack Python developer proficient in Django REST Framework, Vue.js, PostgreSQL, Redis, CI/CD, GitHub Actions, and cloud deployment.",Python Developer
"Experienced data scientist with expertise in Python, machine learning, deep learning, TensorFlow, PyTorch, scikit-learn. Worked on NLP, computer vision projects. Strong background in statistics, data analysis, pandas, numpy, SQL.",Data Science
"Key account manager with experience managing enterprise clients, renewals, cross-selling, strategic partnerships, and executive-level presentations.",Sales
"Data analyst with skills in SQL, Python, Tableau, Power BI, Excel, data wrangling, dashboard creation, business intelligence, and KPI tracking.",Data Science
"Management accountant skilled in cost accounting, budgeting, variance analysis, profitability reporting, KPI dashboards, and strategic financial planning.",Accountant
"Human resources professional with experience in talent acquisition, employee relations, performance management, HRIS systems, onboarding, payroll processing.",HR
"Full-stack web designer skilled in React, Node.js, MongoDB, Express, RESTful APIs, GraphQL, responsive layouts, and progressive web apps.",Web Designing
"Legal advocate specializing in criminal defense, constitutional law, appellate practice, negotiation, mediation, and legal brief writing.",Advocate
"Python backend developer with experience in microservices, gRPC, Protocol Buffers, Kafka integration, Redis caching, Celery task queues, and API design.",Python Developer
"Python developer experienced in Django, Flask, FastAPI, SQLAlchemy, Celery, Redis, PostgreSQL, Docker, REST APIs, unit testing, pytest.",Python Developer
"Frontend developer skilled in React, Angular, CSS animations, TypeScript, REST APIs, web performance optimization, cross-browser compatibility.",Web Designing
"Sales executive with proven track record in B2B sales, lead generation, CRM tools, Salesforce, pipeline management, contract negotiation, cold calling.",Sales
"UX researcher experienced in user interviews, A/B testing, heatmaps, persona creation, journey mapping, and data-driven design decisions.",Web Designing
"CPA with experience in corporate taxation, financial statements, internal controls, risk assessment, Sarbanes-Oxley compliance, and financial modeling.",Accountant
"Software developer proficient in Java EE, JSP, Servlets, design patterns, OOP principles, multi-threading, performance tuning, and system design.",Java Developer
"Senior data scientist with expertise in statistical modeling, hypothesis testing, regression analysis, clustering algorithms, Python, pandas, and big data tools.",Data Science
"HR manager skilled in recruitment, interviewing, compensation and benefits, training and development, compliance, workforce planning, labor relations.",HR
"Backend engineer skilled in Java, Spring Framework, JPA, Apache Kafka, Redis, PostgreSQL, AWS, agile development, code reviews, TDD.",Java Developer
"Creative web designer with expertise in HTML, CSS, JavaScript, React, Vue.js, responsive design, UI/UX, Figma, Adobe XD, Bootstrap, Tailwind CSS.",Web Designing
"AI researcher with background in reinforcement learning, generative models, GANs, diffusion models, PyTorch, research papers, and model benchmarking.",Data Science
"Finance professional skilled in accounts payable, accounts receivable, general ledger, month-end close, variance analysis, forecasting, ERP systems.",Accountant
"NLP engineer specializing in text classification, named entity recognition, transformers, BERT, spaCy, NLTK, sentiment analysis, and information extraction.",Data Science
"Pre-sales consultant with background in solution selling, product demos, RFP responses, technical presentations, and proof of concept delivery.",Sales
"Talent acquisition specialist with expertise in sourcing, LinkedIn recruiting, employer branding, campus hiring, offer negotiation, and retention strategies.",HR
"DevOps-oriented Java developer with expertise in Jenkins, Docker, Kubernetes, Terraform, monitoring with Grafana, and automated deployments.",Java Developer
"Business development manager skilled in consultative selling, account management, territory planning, sales forecasting, customer retention, and revenue growth.",Sales
"Senior Java engineer with 8 years experience in enterprise applications, SOA, SOAP web services, Oracle DB, and legacy system modernization.",Java Developer
"Labor law advocate with expertise in employment disputes, wrongful termination, workplace harassment, labor regulations, and union negotiations.",Advocate
"Intellectual property lawyer specializing in patent prosecution, trademark filing, copyright infringement, licensing agreements, and IP portfolio management.",Advocate
"Python automation engineer with expertise in Selenium, Playwright, pytest, web scraping, BeautifulSoup, Scrapy, and test automation frameworks.",Python Developer
"Data engineering Python developer skilled in Apache Airflow, Spark PySpark, ETL pipelines, data lakes, S3, Redshift, and dbt transformations.",Python Developer
"Web accessibility specialist with expertise in WCAG guidelines, ARIA, screen reader testing, keyboard navigation, and inclusive design practices.",Web Designing
"Family law attorney skilled in divorce proceedings, child custody, adoption, alimony, domestic violence cases, and family court representation.",Advocate
"Attorney with experience in corporate law, mergers and acquisitions, intellectual property, compliance, regulatory affairs, and legal strategy.",Advocate
"Lawyer with expertise in civil litigation, contract law, legal research, court proceedings, client counseling, legal drafting, case management.",Advocate
